Molecule,SMILES,MaxEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,SPS,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,AvgIpc,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea,pEC50
CHEMBL428227,O=C(Nc1nc(-c2ccc(C(F)(F)F)cc2F)cs1)c1ccc(Nc2ccncn2)cc1,14.160408069328934,0.088057669247868,-4.63842831212806,0.3714742198975097,11.25,459.42800000000005,446.3240000000002,459.0776939160001,162,0,0.416013931312287,-0.3401383623270391,0.416013931312287,0.3401383623270391,1.03125,1.8125,2.46875,32.13349127455783,10.090521490319675,2.310066730357924,-2.0772044447129523,2.3338288282205304,-2.1122298281599656,7.137792256166459,-0.1373101359506336,3.220796213121522,1.436929230712107,1243.2921489008124,22.71696770287793,16.020848220550395,16.83734480147812,15.291844901323602,9.065381238650716,9.945034049905612,6.481376558768023,7.339479410626042,4.298467435751733,5.056188502556391,2.7407615894111785,3.446369619331448,-3.86,19097260.234234232,21.375021650003774,8.710956187882228,4.887492174861364,182.55526525869803,5.316788604006331,17.962403693645463,5.131558479839333,0.0,5.907179729351506,6.176298517443475,10.111325788078153,19.342350610516444,13.17124514302446,11.336785877934735,0.0,48.53093654769288,28.391195600156543,11.257379486545457,22.3561973747711,33.88077313964416,0.0,14.951935562841626,0.0,6.176298517443475,10.633577208012662,83.37928678897632,0.0,11.257379486545457,10.633577208012662,34.198467723057206,0.0,11.336785877934735,20.85911529219313,6.176298517443475,5.817220841045895,15.921440167465814,66.43516296453642,0.0,11.257379486545457,0.0,79.8,23.464150579537872,22.3561973747711,0.0,16.388937966384788,17.447681337993636,29.15690628954152,11.707382845230455,36.52867891392113,0.0,25.585512770854287,0.0,52.283350172877576,1.0322877567672526,24.453173033225596,7.300217015286554,0.0289238360816987,-0.8841019697107253,10.508940833354355,-1.639457344548978,0.0,0.0,0.0476190476190476,32,2,6,0,0,0,2,2,4,6,2,11,5,0,0,0,4,5.7539000000000025,112.21989999999998,0,0,0,0,0,3,0,0,0,0,1,1,0,0,0,3,2,0,0,0,0,0,0,0,0,3,0,1,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6.59
CHEMBL395701,CCc1cccc(-c2csc(NC(=O)c3ccc(Nc4ccncn4)cc3)n2)c1F,14.552861773032635,0.2685625577391448,-0.2849380091542786,0.4434408443740502,10.6,419.485,401.3410000000001,419.12160941600007,150,0,0.2569434961972748,-0.3401383623270391,0.3401383623270391,0.2569434961972748,1.1333333333333333,1.9666666666666663,2.7,32.13349103724308,10.061164166901827,2.1381709759799485,-2.063498035280797,2.286481279755836,-2.111902989389057,7.137792437107442,0.1022090917786314,3.230307343089572,1.44541627040259,1161.8836691965207,20.924074484064487,16.094061582709262,16.91055816363699,14.635361590784806,9.315077765060405,10.1947305763153,6.421224615152531,7.27932746701055,4.461652490466729,5.219373557271387,2.8922714171739985,3.597879447094268,-3.65,10717332.805691369,19.65714022445432,8.790728496671438,4.333486868894585,176.42360116431595,5.316788604006331,17.962403693645463,5.131558479839333,0.0,5.907179729351506,0.0,10.111325788078153,19.342350610516448,0.0,11.336785877934735,19.056471336613843,48.38247552539266,28.391195600156543,5.693927994848461,9.184952231746642,33.88077313964416,0.0,14.951935562841626,0.0,13.344558822616634,10.633577208012662,83.37928678897632,0.0,11.257379486545457,10.633577208012662,21.027222580032745,0.0,11.336785877934735,20.85911529219313,6.4208216229260096,5.817220841045895,22.845177367156435,66.43516296453642,0.0,11.257379486545457,0.0,79.8,0.0,9.184952231746642,0.0,11.7244005703974,39.75452535053982,5.687386274683562,17.66410595269928,54.04147582131026,12.990104268152232,25.585512770854287,0.0,14.552861773032635,1.258223327754907,24.878316107738357,8.052284573044645,2.8682513797881146,0.1102875553251747,14.002649377171084,3.70444868839828,1.90601055108014,0.0,0.0909090909090909,30,2,6,0,0,0,2,2,4,6,2,8,6,0,0,0,4,5.297500000000004,116.5959,0,0,0,0,0,3,0,0,0,0,1,1,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6.84
CHEMBL248211,O=C(Nc1nc(-c2cccc(C(F)(F)F)c2F)cs1)c1ccc(Nc2ccncc2)cc1,14.332931217477082,0.005369285781374,-4.813908354902961,0.3417347470557665,11.25,458.44000000000005,444.3280000000002,458.0824449480001,162,0,0.4187456813828716,-0.355436271929755,0.4187456813828716,0.355436271929755,0.9375,1.625,2.3125,32.13349126689509,10.075610449548565,2.347836217953405,-2.094608712403748,2.358623461218708,-2.113672703961977,7.137795995906568,-0.1394476793680005,3.221961330200158,1.4645540133045916,1241.032959643583,22.71696770287793,16.150984894240064,16.96748147516779,15.308681653729208,9.21156708322543,10.091219894480329,6.595136777041381,7.4532396288994,4.420805637713314,5.178526704517971,2.879725772945776,3.585333802866045,-3.789999999999999,19366771.369092245,21.442362428714905,8.753679600120654,4.751410905356033,183.3356172777515,5.316788604006331,5.817220841045895,5.131558479839333,0.0,5.907179729351506,6.176298517443475,15.095304309025362,9.374393568622027,13.17124514302446,11.336785877934735,6.06636706846161,48.53093654769288,40.275425446453184,11.257379486545457,22.3561973747711,33.7502966364927,0.0,9.967957041894415,0.0,6.176298517443475,10.633577208012662,89.31517735428646,0.0,11.257379486545457,10.633577208012662,34.067991219905736,0.0,11.336785877934735,15.875136771245923,6.176298517443475,5.817220841045895,15.921440167465814,72.37105352984656,0.0,11.257379486545457,0.0,66.91,23.464150579537872,22.3561973747711,0.0,16.388937966384788,11.629818560158606,28.77792549576347,11.446429838927523,48.791889553995816,0.0,20.60153424990708,0.0,53.14648732166273,0.9851314980478176,20.48671533632584,7.26546834886979,0.3137851213603488,-1.8552426618795668,13.25395583231086,-1.5129674633644887,0.0,0.0,0.0454545454545454,32,2,5,0,0,0,2,2,4,5,2,10,5,0,0,0,4,6.358900000000003,114.42489999999998,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,2,2,0,0,0,0,0,0,0,0,3,0,1,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,6.4
CHEMBL248047,O=C(Nc1nc(-c2ccc(F)c(F)c2)ns1)c1ccc(Nc2ccncn2)cc1,13.364325267682185,0.2024063228184109,-0.9874532537240256,0.510499388760889,10.551724137931034,410.4090000000001,398.31300000000016,410.076136444,144,0,0.2569823136634062,-0.3401383623270391,0.3401383623270391,0.2569823136634062,1.0,1.827586206896552,2.5517241379310347,32.13713977057056,10.165563979359073,2.127301112709227,-2.059050901534563,2.231859463875742,-2.111496301471721,7.096462765779367,0.10220830901119,3.1961548886541182,1.4268136830704763,1151.095325566779,20.216967702877938,14.634782600842277,15.45127918177,14.080520035918411,8.319220354236194,9.092617016370168,5.803118297941825,6.554965000678924,3.825745736685241,4.456255497156861,2.4134671386342434,2.9982724280148254,-3.79,6199159.74507709,18.567620550082616,8.066347436342195,4.381113658133888,167.21999030834087,5.316788604006331,12.14518285259957,17.45884618009172,5.131558479839333,5.907179729351506,0.0,10.111325788078153,18.74878713724405,9.357518502363655,0.0,0.0,48.53093654769288,34.543619441257306,0.0,13.575367279421462,34.0764738732761,0.0,19.325475544258072,0.0,0.0,10.633577208012662,78.25299336785929,0.0,11.387855989696924,10.633577208012662,25.417637627707563,0.0,11.532486611566677,25.23265527360958,0.0,11.63444168209179,10.357988675768818,61.055100194070505,0.0,11.387855989696924,0.0,92.69,11.63444168209179,13.575367279421462,0.0,16.863142707190768,16.94476576122902,29.35260702317345,12.393687143226153,36.52867891392113,0.0,29.959052752270736,0.0,30.48288043184151,0.9465859505818156,24.464703315432065,5.978027640296448,1.5003702338213318,-1.467872523799226,11.878451599729626,3.050186685429761,0.0,0.0,0.0,29,2,7,0,0,0,2,2,4,7,2,10,5,0,0,0,4,4.269200000000002,104.9709,0,0,0,0,0,4,0,0,0,0,1,1,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.14
CHEMBL248046,O=C(Nc1nc(-c2ccc(F)cc2F)ns1)c1ccc(Nc2ccncn2)cc1,13.850408069328932,0.0586089974187986,-0.7708773725539599,0.510499388760889,10.551724137931034,410.4090000000001,398.31300000000016,410.076136444,144,0,0.2569823137027857,-0.3401383623270391,0.3401383623270391,0.2569823137027857,1.0344827586206895,1.862068965517241,2.586206896551724,32.13713977121182,10.164876147919706,2.142029260319335,-2.0591725485758894,2.244708537490796,-2.111732576870683,7.096467797112822,0.1022084415025981,3.1713436206606147,1.4353169933237615,1151.095325566779,20.216967702877938,14.634782600842277,15.45127918177,14.080520035918411,8.319220354236196,9.092617016370168,5.798398557510108,6.550245260247207,3.8199809640985176,4.4504907245701375,2.441212715457226,3.0189569236270986,-3.79,5992824.613089951,18.567620550082616,8.066347436342195,4.381113658133888,167.21999030834087,5.316788604006331,23.77962453469136,5.824404497999927,5.131558479839333,5.907179729351506,0.0,10.111325788078153,18.74878713724405,9.357518502363655,0.0,0.0,42.46456947923127,35.04653501802191,5.563451491696996,13.575367279421462,34.0764738732761,0.0,19.325475544258072,0.0,0.0,10.633577208012662,78.25299336785929,0.0,11.387855989696924,10.633577208012662,25.417637627707563,0.0,11.532486611566677,25.23265527360958,0.0,11.63444168209179,10.357988675768818,61.055100194070505,0.0,11.387855989696924,0.0,92.69,11.63444168209179,13.575367279421462,0.0,22.426594198887763,11.381314269532025,29.35260702317345,12.393687143226153,36.52867891392113,0.0,29.959052752270736,0.0,30.899148418673448,0.9052140684956476,24.405647600371893,5.907435903355122,1.218967169472949,-1.1390865807243484,11.590813780613082,3.0451929730755385,0.0,0.0,0.0,29,2,7,0,0,0,2,2,4,7,2,10,5,0,0,0,4,4.269200000000002,104.9709,0,0,0,0,0,4,0,0,0,0,1,1,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.89
CHEMBL249061,O=C(Nc1nc(-c2cccc(F)c2F)cs1)c1ccc(Nc2ccncn2)cc1,13.906611773032637,0.0434238122336134,-0.969951446628034,0.4914050889503495,10.551724137931034,409.4210000000001,396.3170000000002,409.0808874760001,144,0,0.2569434961973408,-0.3401383623270391,0.3401383623270391,0.2569434961973408,1.0344827586206895,1.862068965517241,2.6206896551724137,32.13349100695335,10.142088837161126,2.142661440162659,-2.061452719626447,2.279874669561751,-2.111846838978954,7.137787936564686,0.1022087552049827,3.19297469415704,1.4439320514227216,1149.2675209543495,20.216967702877938,14.76491927453194,15.581415855459667,14.09735678832402,8.443399829785196,9.323052641040093,5.89037044740099,6.748473299259011,3.95365078528929,4.711371852093946,2.5432197011889377,3.248827731109208,-3.72,6293940.62952725,18.63440903152752,8.110277432352875,4.245712897582267,167.85925233844895,5.316788604006331,12.14518285259957,16.766000161931125,0.0,5.907179729351506,0.0,10.111325788078153,23.732765658191266,0.0,11.336785877934735,6.06636706846161,42.46456947923127,28.391195600156543,5.693927994848461,13.575367279421462,33.88077313964416,0.0,14.951935562841626,0.0,0.0,10.633577208012662,83.63305613832522,0.0,11.257379486545457,10.633577208012662,25.417637627707563,0.0,11.336785877934735,20.85911529219313,0.0,11.63444168209179,10.357988675768818,66.43516296453642,0.0,11.257379486545457,0.0,79.8,11.63444168209179,13.575367279421462,0.0,22.296117695736296,11.381314269532025,23.090539221079908,18.46005421168776,41.90874168438704,0.0,25.585512770854287,0.0,27.2987148184926,1.1281744331970838,24.51934743075789,7.601163462563416,1.4850782258889783,-1.643054973090209,12.391070735642156,3.0528391998814177,0.0,0.0,0.0,29,2,6,0,0,0,2,2,4,6,2,9,5,0,0,0,4,4.874200000000003,107.1759,0,0,0,0,0,3,0,0,0,0,1,1,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6.38
CHEMBL245994,O=C(Nc1nc(-c2ccc(F)cc2)cs1)c1ccc(Nc2ccncn2)cc1,13.032354790079056,0.2559331170739896,-0.3007826511768536,0.513866598110071,10.464285714285714,391.431,377.3190000000001,391.09030928800007,138,0,0.2569434961594378,-0.3401383623270391,0.3401383623270391,0.2569434961594378,1.0,1.7857142857142858,2.5,32.133490905896814,10.158343365831684,2.1019651918124675,-2.0608904108415955,2.25254180743876,-2.111372131237985,7.137778484960774,0.10220922125293,3.1810583321551764,1.4153561636121983,1081.806250947178,19.34672421487486,14.464305070712342,15.280801651640068,13.669836433395451,8.331767862470208,9.211420673725105,5.795885047401449,6.65398789925947,3.866088943489301,4.6238100102939566,2.47113099728264,3.185854843848009,-3.65,4233199.737632166,17.748353659147956,7.930694182621128,4.183106986570093,163.69371693552273,5.316788604006331,17.962403693645463,5.131558479839333,0.0,5.907179729351506,0.0,10.111325788078153,19.342350610516444,0.0,11.336785877934735,0.0,54.59730361615449,28.391195600156543,5.693927994848461,9.184952231746642,33.88077313964416,0.0,14.951935562841626,0.0,0.0,10.633577208012662,83.88220236574092,0.0,11.257379486545457,10.633577208012662,21.027222580032745,0.0,11.336785877934735,20.85911529219313,0.0,5.817220841045895,10.357988675768818,72.50153003299803,0.0,11.257379486545457,0.0,79.8,0.0,9.184952231746642,0.0,11.7244005703974,22.206800744219816,11.250837766380558,29.7968400896225,48.661413050844345,5.380062770465915,25.585512770854287,0.0,13.032354790079056,1.3131770314586104,24.779407483546297,8.203905317989566,2.789686058185997,0.1130154530186835,14.834181202749257,3.100939329639203,0.0,0.0,0.0,28,2,6,0,0,0,2,2,4,6,2,8,5,0,0,0,4,4.735100000000003,107.2179,0,0,0,0,0,3,0,0,0,0,1,1,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5.59
CHEMBL248035,O=C(Nc1nc(-c2ccccc2F)cs1)c1ccc(Nc2ccncn2)cc1,13.8695747359956,0.2888706223230028,-0.3495810762576632,0.513866598110071,10.464285714285714,391.431,377.3190000000001,391.09030928800007,138,0,0.2569434961972677,-0.3401383623270391,0.3401383623270391,0.2569434961972677,1.0357142857142858,1.8571428571428568,2.607142857142857,32.133490906527484,10.150537626506344,2.118341647255773,-2.061152150689702,2.26815394329399,-2.11165277696703,7.137785518703622,0.1022094815318086,3.176384260754856,1.4334079872429897,1099.056250947178,19.34672421487486,14.464305070712342,15.280801651640068,13.68667318580106,8.337750926613916,9.21740373786881,5.768838300626252,6.626941152484273,3.875912128685594,4.63363319549025,2.510534840656784,3.2161428705770545,-3.65,4277191.990162059,17.748353659147956,7.930694182621128,4.018595896253536,163.69371693552273,5.316788604006331,17.962403693645463,5.131558479839333,0.0,5.907179729351506,0.0,10.111325788078153,19.342350610516444,0.0,11.336785877934735,12.13273413692322,42.46456947923127,28.391195600156543,5.693927994848461,9.184952231746642,33.88077313964416,0.0,14.951935562841626,0.0,0.0,10.633577208012662,83.88220236574092,0.0,11.257379486545457,10.633577208012662,21.027222580032745,0.0,11.336785877934735,20.85911529219313,0.0,5.817220841045895,10.357988675768818,72.50153003299803,0.0,11.257379486545457,0.0,79.8,0.0,9.184952231746642,0.0,11.7244005703974,27.77025223591681,5.687386274683562,23.73047302116089,60.107842889771874,0.0,25.585512770854287,0.0,13.8695747359956,1.244765514073879,24.683116224722458,7.979712854131352,2.170753159533997,0.0241970859584157,15.102789567686733,3.0917575245642315,0.0,0.0,0.0,28,2,6,0,0,0,2,2,4,6,2,8,5,0,0,0,4,4.735100000000003,107.2179,0,0,0,0,0,3,0,0,0,0,1,1,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5.16
CHEMBL248192,O=C(Nc1nc(-c2cccc(C(F)(F)F)n2)cs1)c1ccc(Nc2ccncn2)cc1,12.85105849378276,0.0756691826039841,-4.544087753051109,0.4514377561733985,11.193548387096774,442.426,429.3220000000002,442.08236469600007,156,0,0.432858933692085,-0.3401383623270391,0.432858933692085,0.3401383623270391,0.967741935483871,1.7741935483870968,2.4838709677419355,32.133491182204224,10.166386473336404,2.321987223637493,-2.0653828074724303,2.3017022738964235,-2.1133446387397727,7.137741378094229,-0.1406309966612485,3.2287557527806645,1.4328857611181127,1195.528064638611,21.846724214874857,15.590097343041126,16.406593923968853,14.88116129880064,8.829595661789767,9.709248473044664,6.194818735643433,7.052921587501452,4.028061294224511,4.785782361029166,2.570779207445998,3.2701662999368626,-3.86,13365292.373382438,20.414300994826625,8.479523972104248,5.01010227141017,177.60937783671827,5.316788604006331,23.53303884229649,5.131558479839333,0.0,5.907179729351506,6.176298517443475,10.111325788078153,19.935914083788838,13.17124514302446,11.336785877934735,6.06636706846161,42.46456947923127,22.827744108459548,5.693927994848461,17.96578232709628,33.88077313964416,0.0,19.935914083788838,0.0,6.176298517443475,10.633577208012662,77.69254245108189,0.0,11.387855989696922,10.633577208012662,29.80805267538238,0.0,11.336785877934735,25.84309381314034,6.176298517443475,0.0,16.051916670617278,66.43516296453642,0.0,11.387855989696922,0.0,92.69,17.77740624164344,17.96578232709628,0.0,16.519414469536255,11.381314269532025,23.090539221079908,23.840116982153678,36.52867891392113,0.0,30.56949129180149,0.0,38.55317548134828,1.0948299982008631,28.132346899773268,7.502819353922261,0.4503324335188376,0.2196351383937582,11.984151074873887,-1.520623713364488,0.0,0.0,0.05,31,2,7,0,0,0,1,3,4,7,2,11,5,0,0,0,4,5.009800000000003,110.0569,0,0,0,0,0,4,0,0,0,0,1,1,0,0,0,4,2,0,0,0,0,0,0,0,0,3,0,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,6.61
CHEMBL391597,O=C(Nc1nc(-c2ccc(Cl)c(Cl)c2)cs1)c1ccc(Nc2ccncn2)cc1,12.504213032371402,0.2420142213263902,-0.2420142213263902,0.4022109969955214,10.551724137931034,442.3310000000001,429.2270000000002,441.0217863960001,144,0,0.2569434961594719,-0.3401383623270391,0.3401383623270391,0.2569434961594719,1.0,1.827586206896552,2.5517241379310347,35.49826317353296,10.159537558466152,2.109867764717228,-2.061333556341072,2.3024966630136445,-2.111382387384183,7.137812042999916,0.1022097771000169,3.1961548886541182,1.4268136830704763,1149.2675209543495,20.216967702877938,14.76491927453194,17.093273747496575,14.080520035918411,8.437416765641489,10.07299852291484,5.917879985798283,7.590383091137516,3.941468334081637,5.438218679624311,2.505937806700776,3.518752834888756,-2.999999999999999,6199159.74507709,19.322235434007133,8.566329565734682,4.70808116767533,180.13471398635983,5.316788604006331,12.14518285259957,5.131558479839333,0.0,5.907179729351506,0.0,10.111325788078153,14.951935562841626,0.0,11.336785877934735,29.268246848926644,42.46456947923127,28.391195600156543,15.739194622331112,4.794537184071822,57.0826529201092,0.0,14.951935562841626,0.0,0.0,10.633577208012662,82.04388108371607,0.0,11.257379486545457,10.633577208012662,16.636807532357924,0.0,34.538665658399765,20.85911529219313,0.0,0.0,10.357988675768818,66.43516296453642,10.045266627482652,11.257379486545457,0.0,79.8,0.0,4.794537184071822,0.0,5.907179729351506,32.252067371702466,11.250837766380558,17.66410595269928,48.661413050844345,11.446429838927523,25.585512770854287,23.20187978046503,0.0,13.346142828339936,24.925479550830204,9.23881044872044,2.880083395747281,0.4337444549066034,14.11835565921159,3.112939217799502,0.0,0.0,0.0,29,2,6,0,0,0,2,2,4,6,2,9,5,0,0,0,4,5.902800000000003,117.27989999999998,0,0,0,0,0,3,0,0,0,0,1,1,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6.46
CHEMBL247431,O=C(Nc1nc(-c2ccc(F)cc2F)cs1)c1ccc(Nc2ccncn2)cc1,13.890408069328933,0.1697201085299098,-0.7083773725539599,0.4914050889503495,10.551724137931034,409.4210000000001,396.3170000000002,409.0808874760001,144,0,0.2569434961972678,-0.3401383623270391,0.3401383623270391,0.2569434961972678,1.0344827586206895,1.862068965517241,2.586206896551724,32.13349100689992,10.1443131153737,2.1282047003241558,-2.061311645753604,2.2745302696511964,-2.11172471223388,7.137787138834691,0.1022086895834057,3.1713436206606147,1.4353169933237615,1149.2675209543495,20.216967702877938,14.76491927453194,15.581415855459667,14.080520035918411,8.437416765641489,9.317069576896383,5.913160245366567,6.771263097224587,3.9331870348095785,4.690908101614235,2.5388043957178503,3.244412425638121,-3.72,5992824.613089951,18.63440903152752,8.110277432352875,4.409688353395787,167.85925233844895,5.316788604006331,23.77962453469136,5.131558479839333,0.0,5.907179729351506,0.0,10.111325788078153,23.732765658191266,0.0,11.336785877934735,0.0,42.46456947923127,34.45756266861815,5.693927994848461,13.575367279421462,33.88077313964416,0.0,14.951935562841626,0.0,0.0,10.633577208012662,83.6330561383252,0.0,11.257379486545457,10.633577208012662,25.417637627707563,0.0,11.336785877934735,20.85911529219313,0.0,11.63444168209179,10.357988675768818,66.43516296453642,0.0,11.257379486545457,0.0,79.8,11.63444168209179,13.575367279421462,0.0,11.4706312210485,22.206800744219816,29.15690628954152,12.393687143226153,41.90874168438704,0.0,25.585512770854287,0.0,26.943596192741325,1.1552140684956476,24.55658297452156,7.688930856146973,1.696311763896298,-1.0766543666587676,11.81232455158814,3.0570272926021658,0.0,0.0,0.0,29,2,6,0,0,0,2,2,4,6,2,9,5,0,0,0,4,4.874200000000003,107.1759,0,0,0,0,0,3,0,0,0,0,1,1,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6.76
