Molecule,MDEC-33,VE1_Dzp,ATSC6e,minaaN,SpMax4_Bhm,nAtomLAC,VE3_Dzs,pEC50
15,6.010105134440337,0.0541448077529148,-0.0117610000000039,3.851618444089235,3.701679480369445,0,-11.608775760446028,6.31
76,9.897104885111355,0.0233502716821158,-1.933915411989787,4.186156979772197,3.783103320457402,0,-5.393737306874461,8.15
88,7.710276239303999,0.1853901221348741,0.6402905841760853,3.8900106959692735,3.702434505104754,0,-9.19340669633175,5.36
58,7.710276239303999,0.0976178491491477,0.5824098395061711,3.6965348848265087,3.7027109905662425,0,-6.430409783499954,6.4
109,8.611072917307846,0.0946494078839168,2.1957977860448565,4.193241629291967,3.7787087884283257,0,-6.562215117453123,7.09
28,8.397269619488725,0.2200179795612859,0.2092780629251697,3.896527700995499,3.70228333687199,0,-9.783577101243036,5.87
25,9.731498899391129,0.2142006417729272,-0.5797800915637925,3.882642874684497,3.701214119807932,3,-8.97039077919424,7.46
20,8.397269619488725,0.169131921994422,0.4277378843537409,3.873502368858287,3.702235364285584,0,-7.772573290139198,6.21
68,9.246992481717294,0.1625080154207141,0.1529666055810111,3.922524205692328,3.733993918929954,0,-8.922407642234406,7.42
53,8.397269619488725,0.1305491135033248,0.5624622395061708,3.90503159606858,3.701913539075884,0,-7.069771051507916,6.5
52,8.397269619488725,0.1592854402820024,0.3397857575308635,4.051978588950999,3.701206812441861,0,-7.902807353101131,5.11
98,5.629142982536616,0.0316131786233342,0.9861124234404536,3.82572397005955,3.686633683149087,0,-5.735468793582406,5.7
43,10.204506521509575,0.106367799054527,0.7909392874149637,3.8401427321905097,3.701407237270813,0,-5.734038591420632,7.08
51,8.397269619488725,0.1450294024630976,0.4511239985185171,3.95364270717969,3.701372079861777,0,-7.438977460112935,5.1
1,10.2563155320615,0.1299035529598932,-1.4056618370017848,4.368531054057334,3.790769211995,0,-2.3541100821968564,7.55
80,10.972391208339577,0.1626405991503266,-0.1000585503737996,4.163921436154859,3.7528084106254447,0,-7.75707983836739,7.96
78,10.1002682600443,0.1656518564499169,1.5027037708333375,3.841568898431951,3.702377956657676,0,-6.481995143679055,6.75
93,8.397269619488725,0.0979383567420012,-1.0840029980246932,3.829098834620538,3.701003074698941,0,-5.089933338515163,6.01
72,9.246992481717294,0.150874318398026,0.0417317368421161,4.159607539025662,3.7541147593227575,2,-7.059302314453778,7.66
49,8.397269619488725,0.1061345617047568,0.9602183724007524,4.016142707179691,3.7139338577323127,0,-6.606739300166989,5.07
111,8.611072917307846,0.0952095096624806,2.83029032369148,4.190865800283894,3.761029403610959,3,-5.834907398488337,7.15
21,8.397269619488725,0.1741031733862238,0.4578501020408157,3.874369233665481,3.726443690966848,0,-8.373504383992104,7.0
17,6.010105134440337,0.1906010702612933,-1.5768937084121029,3.853247151666449,3.7010059170467415,0,-6.934893728826864,5.0
11,6.293005383572887,0.134836706072138,-1.6122976261814743,3.850199830165815,3.700891876476035,0,-5.834456428623546,6.55
9,6.293005383572887,0.1716323991889914,-0.1151388503401356,3.890368188394431,3.709025216489894,0,-14.032710348194204,6.19
77,10.937483445002677,0.1843900739366899,0.4963944375000035,3.838391552631104,3.702244808697053,0,-6.78466311102617,6.27
70,9.246992481717294,0.1395881125549946,0.7821300722677187,4.10488531680344,3.741214219077062,2,-7.583819337629164,6.89
110,9.317785559671568,0.1245611244976676,1.562393793552814,4.180862003836562,3.785255645793793,0,-6.147356522498311,7.89
106,8.611072917307846,0.1573156098540208,1.990828509077964,4.039627288454627,3.742066285595498,2,-6.3042663929722345,7.52
97,6.128444696172208,0.0475667192630688,0.7692804234404536,3.822546624258704,3.681277271244592,0,-6.042747628340142,5.85
90,7.710276239303999,0.1010640365154823,2.337293151342975,3.830321732899071,3.701595631294409,0,-6.315574614217603,6.39
45,10.204506521509575,0.1445794534868005,0.9994658385185152,3.8194248189864473,3.7018950748974735,0,-5.99291262978708,7.48
79,10.972391208339577,0.1603052410429905,0.6572459636479712,4.1610133428763945,3.750047337975469,0,-7.449401114076275,7.35
105,7.710276239303999,0.0877899116495613,4.929217086419747,3.8197715891071686,3.683090595303435,0,-6.135674721898859,5.64
40,7.710276239303999,0.185412125414781,-0.0939729023437487,3.891280704052937,3.700989194697728,0,-8.61875191332772,6.11
82,10.937483445002677,0.2341126959926188,-0.8938962900000018,3.862044084109381,3.702154690250059,0,-6.997138104587007,7.57
69,9.246992481717294,0.1187470277372828,-0.0591122296190783,4.151690872358995,3.749094058735419,0,-8.20451701102569,7.27
33,7.947659235360486,0.196366718121693,0.4038368320312494,3.8918031727081552,3.7007675601237366,0,-8.250085227377674,5.65
14,6.010105134440337,0.1463033866739337,0.0126818800000012,3.887040881762365,3.7001716534109113,0,-10.79338737740552,5.92
5,6.707198070567934,0.1792534431390911,0.2873680000000001,3.8902683694837714,3.701688914739723,0,-10.047783582992016,5.05
81,10.937483445002677,0.2040963171619737,-1.3415259167043918,3.8559616879156096,3.7017916085607103,0,-7.460888822484451,6.85
59,8.397269619488725,0.1684848470578324,0.1060385154958661,3.721135316803439,3.688082417979399,0,-8.153459293322696,6.27
48,8.397269619488725,0.1207023950255536,0.8602309990548175,4.163089700062111,3.713753325430171,0,-6.921912491144592,5.66
66,9.246992481717294,0.1050476615310586,0.9387358072916692,4.026690872358995,3.732830852910857,0,-7.387684660427135,7.37
107,8.611072917307846,0.1260666878091453,1.863743891900515,4.157682844010182,3.75404021827994,2,-6.48250743120987,6.66
85,5.176552182855839,0.1192460626753367,-0.1211364419988097,3.878139951259184,3.697685416831894,0,-8.853307309788162,5.8
3,5.176552182855839,0.1302539599008482,-0.0742910799319724,3.8832419920755097,3.698109232068511,0,-11.65403032503705,5.46
31,7.947659235360486,0.0875112715785687,0.7166067866666586,3.8356194893602846,3.7017509860570432,0,-7.786529929836405,6.59
23,8.397269619488725,0.1871225320416778,0.5703140169270832,3.875796152616168,3.701036201540561,2,-8.781473581071522,6.84
50,8.397269619488725,0.1065614194529741,1.1675751115311863,3.943357539025661,3.713993688826808,0,-6.615878120952491,6.4
87,7.710276239303999,0.0767994981137697,1.0613465181439603,3.8510396461031338,3.7008953480724633,0,-6.175740943955211,6.14
86,7.947659235360486,0.0902506283887533,1.5484458352171313,3.84931938760213,3.700641640641648,0,-6.063851014892501,5.89
19,8.397269619488725,0.1161277858369318,0.3527352057823118,3.852964341118613,3.700928397572952,0,-6.475483092349268,6.38
12,6.010105134440337,0.0917738591794899,0.4313437500000002,3.8704203831474064,3.7003553083046734,0,-8.592198444412517,5.59
4,6.707198070567934,0.1243744323922699,0.5137117499999998,3.86724303734656,3.700050620846532,0,-7.652840996436084,5.16
42,6.293005383572887,0.0342275429481516,0.0909577443181814,3.6468853355146233,3.701459035977654,0,-6.580082154592534,6.61
39,7.710276239303999,0.1964620952435627,0.1500960391156462,3.8951127367856,3.702628780986106,0,-11.170719336816346,6.46
29,7.947659235360486,0.1013969693555479,1.032832729591835,3.8544214284184566,3.7009220232015054,0,-6.61813731758512,6.76
26,8.397269619488725,0.1133603773720839,0.6108997726843087,3.869623313109995,3.700867682552005,0,-6.385994891348019,5.5
24,8.397269619488725,0.1930975789822099,0.1688546841563756,3.88319876786356,3.701138307491622,4,-7.43732535464504,7.28
